PMID;DP;TI;AB;MH
26824869;2016;Treatment Goals in Diabetes.;The quality of glycaemic control in diabetes mellitus relies on accurate individualization of available treatment options. Treatment targets depend on the type and duration of diabetes, the patients' abilities and characteristics and the individual risk for acute and/or late-stage complications. These complications include hypoglycaemia, which can be severe and life threatening, hyperglycaemia, which is a main factor for the development of cardiovascular disease, and macrovascular and microvascular disease, both of which are hallmark features of diabetes-associated constraints. Moreover, other treatment goals in diabetic patients influence both glycaemic control and quality of life. Lipoproteins, blood pressure, weight control, mental health and lifestyle are important factors that contribute to the frequency of diabetes-associated complications.;Blood Glucose/metabolism, Diabetes Complications/*prevention & control/therapy, Diabetes Mellitus/blood/drug therapy/*therapy, Diabetes Mellitus, Type 1/therapy, Diabetes Mellitus, Type 2/therapy, Goals, Humans, Hypoglycemic Agents/therapeutic use
23303908;2013 Jan;Mechanisms of diabetic complications.;It is increasingly apparent that not only is a cure for the current worldwide diabetes epidemic required, but also for its major complications, affecting both small and large blood vessels. These complications occur in the majority of individuals with both type 1 and type 2 diabetes. Among the most prevalent microvascular complications are kidney disease, blindness, and amputations, with current therapies only slowing disease progression. Impaired kidney function, exhibited as a reduced glomerular filtration rate, is also a major risk factor for macrovascular complications, such as heart attacks and strokes. There have been a large number of new therapies tested in clinical trials for diabetic complications, with, in general, rather disappointing results. Indeed, it remains to be fully defined as to which pathways in diabetic complications are essentially protective rather than pathological, in terms of their effects on the underlying disease process. Furthermore, seemingly independent pathways are also showing significant interactions with each other to exacerbate pathology. Interestingly, some of these pathways may not only play key roles in complications but also in the development of diabetes per se. This review aims to comprehensively discuss the well validated, as well as putative mechanisms involved in the development of diabetic complications. In addition, new fields of research, which warrant further investigation as potential therapeutic targets of the future, will be highlighted.;Animals, Blood Glucose/metabolism, Diabetes Complications/*etiology/genetics/metabolism/therapy, Diabetes Mellitus, Type 1/*complications/genetics/metabolism/therapy, Diabetes Mellitus, Type 2/*complications/genetics/metabolism/therapy, Diabetic Angiopathies/etiology, Diabetic Nephropathies/etiology, Diabetic Neuropathies/etiology, Disease Models, Animal, Gene Expression Regulation, Glycation End Products, Advanced/metabolism, Humans, Inflammation Mediators/metabolism, Oxidative Stress, Prognosis, Risk Factors, Signal Transduction
31241989;2019 Aug 1;Sex differences in diabetes and kidney disease: mechanisms and consequences.;Type 1 and type 2 diabetes, along with their accompanying hyperglycemia, are associated with a multitude of comorbidities including the development of diabetic kidney disease. Although the hallmarks of these metabolic disorders have been well characterized in population and animal studies, it is becoming increasingly apparent that diabetes manifests itself differently in men and women. This review summarizes the recent diabetic literature with a focus on known sex differences in clinical and preclinical studies. It explores the physiological differences of glucose handling and the development of diabetes between men and women. This review also uncovers potential mechanisms for these differences, honing in on the vital role that sex hormone signaling plays in the progression of diabetes and renal complications.;Animals, Diabetes Mellitus/epidemiology/genetics/*physiopathology, Diabetes Mellitus, Type 1/epidemiology/genetics/physiopathology, Diabetes Mellitus, Type 2/epidemiology/genetics/physiopathology, Diabetic Nephropathies/epidemiology/genetics/*physiopathology, Female, Humans, Male, Sex Characteristics
34173093;2021 May;Oxidative Stress: Pathogenetic Role in Diabetes Mellitus and Its Complications and Therapeutic Approaches to Correction.;"The review presents modern views about the role of oxidative stress reactions in the pathogenesis of types 1 and 2 diabetes mellitus and their complications based on the analysis of experimental and clinical studies. The sources of increased ROS generation in diabetes are specified, including the main pathways of altered glucose metabolism, oxidative damage to pancreatic β-cells, and endothelial dysfunction. The relationship between oxidative stress, carbonyl stress, and inflammation is described. The significance of oxidative stress reactions associated with hyperglycemia is considered in the context of the ""metabolic memory"" phenomenon. The results of our studies demonstrated significant ethnic and age-related variability of the LPO-antioxidant defense system parameters in patients with diabetes mellitus, which should be considered during complex therapy of the disease. Numerous studies of the effectiveness of antioxidants in diabetes mellitus of both types convincingly proved that antioxidants should be a part of the therapeutic process. Modern therapeutic strategies in the treatment of diabetes mellitus are aimed at developing new methods of personalized antioxidant therapy, including ROS sources targeting combined with new ways of antioxidant delivery.";Animals, Antioxidants/metabolism/therapeutic use, Diabetes Complications/*etiology/metabolism/pathology/*therapy, Diabetes Mellitus/*etiology/metabolism/pathology/*therapy, Humans, Oxidative Stress/*physiology, Reactive Oxygen Species/metabolism
31511734;2019 Sep;Precision medicine in diabetes.; This review presents the dynamic and fast growing concept of precision medicine in a simple and succinct manner. It describes the potential of precision medicine in diabetes praxis, under three headings: diagnosis of type of diabetes, choice of pharmacotherapy for glucose lowering, and management of complications of diabetes. This review should make the scope of precision medicine easy to understand for the practicing physician.;Diabetes Complications/*drug therapy, Diabetes Mellitus/*diagnosis/*drug therapy/genetics, Diabetes Mellitus, Type 1/diagnosis/drug therapy, Diabetes Mellitus, Type 2/diagnosis/drug therapy, Humans, Hypoglycemic Agents/*therapeutic use, Precision Medicine
24697038;2013;[Diabetes mellitus and periodontal disease].; Scientific studies confirm correlation between periodontitis and systemic diseases such as: arteriosclerosis, diabetes, heart diseases, stroke, diseases of the respiratory system, kidney diseases, osteoporosis, rheumatoid arthritis, premature birth and low birth weight. The interaction between periodontitis and diabetes mellitus is described, based on the literature.;Animals, Chronic Disease, Comorbidity, Diabetes Complications/*epidemiology/metabolism/*therapy, Diabetes Mellitus/*epidemiology/metabolism, Diabetes Mellitus, Experimental/complications/metabolism, Diabetes Mellitus, Type 2/epidemiology, Humans, Periodontitis/diagnosis/*epidemiology/etiology/metabolism/*therapy
16898084;2006 Jul 2;[Diagnosis of diabetes mellitus].;Beside the clinical diagnosis of diabetes mellitus based on the measurement of blood glucose level, these days, the etiologic classification of the disease comes to the forefront. Genetic analysis (HLA typing, searching for glucokinase gene and mitochondrial gene mutations), immunologic examination (determination of islet specific autoantibodies) and measurement of the insulin secretory capacity help the etiologic classification. The most important result of classification is the discovery of the slowly progressive form of type 1 diabetes mellitus (formerl latent autoimmune diabetes in adults). Another direction of diagnostic procedures is the prediction of the disease in nondiabetic population. The prediction of type 1 diabetes is not specific enough at present, but that of type 2 diabetes can be done easily.;Blood Glucose/metabolism, Diabetes Mellitus/*classification/*diagnosis/genetics/immunology/metabolism, Diabetes Mellitus, Type 1/diagnosis, Diabetes Mellitus, Type 2/diagnosis, Glucose Tolerance Test, Humans, Insulin/metabolism, Insulin Resistance, Insulin Secretion
20723824;2010 Sep;Complications of type 1 diabetes.;The prevalence of diabetes is increasing worldwide and the concern regarding the number of new cases of diabetes relates to the development of chronic complications. It has been recognized for years that the complications are a cause of considerable morbidity and mortality worldwide and as such, negatively affect the quality of life in individuals with diabetes with an increase in disability and death. Specifically, the complications of diabetes have been classified as either microvascular (ie, retinopathy, nephropathy, and neuropathy) or macrovascular (ie, cardiovascular disease, cerebrovascular accidents, and peripheral vascular disease). For purposes of this article, the authors focus on a brief review of the major complications.;Animals, Blood Pressure/physiology, Diabetes Mellitus, Type 1/*complications/metabolism/physiopathology/therapy, Diabetic Angiopathies/diagnosis/etiology/therapy, Diabetic Nephropathies/diagnosis/etiology/physiopathology/therapy, Diabetic Neuropathies/diagnosis/etiology/therapy, Humans, Models, Biological
1445169;1992 Oct;Diabetes mellitus and cystic fibrosis.;There is a high prevalence of diabetes mellitus in patients with CF and this is likely to increase in the future as more patients are surviving into adult life. In view of this all CF clinics should routinely screen for diabetes mellitus. The prevalence of diabetes mellitus in adult CF patients is higher than in children, and the onset is commonly insidious. The diabetes seen in CF is not classical Type 1 diabetes or Type 2 diabetes and could more helpfully be called cystic fibrosis-related diabetes (CFRD). Treatment is by oral hypoglycaemic agents or insulin. It is not appropriate to control patients by diet alone. Dietary advice to CF diabetic patients is not the same as that given to non-CF diabetic patients. Microvascular complications have now been reported and careful monitoring of all CF patients with diabetes should be undertaken.;Cystic Fibrosis/*complications, Diabetes Complications, Diabetes Mellitus/diagnosis/pathology/psychology/therapy, Diet, Humans
23296171;2013 Feb; Coming full circle in diabetes mellitus: from complications to initiation.;Glycaemic control, reduction of blood pressure using agents that block the renin-angiotensin system and control of dyslipidaemia are the major strategies used in the clinical management of patients with diabetes mellitus. Each of these approaches interrupts a number of pathological pathways, which directly contributes to the vascular complications of diabetes mellitus, including renal disease, blindness, neuropathy and cardiovascular disease. However, research published over the past few years has indicated that many of the pathological pathways important in the development of the vascular complications of diabetes mellitus are equally relevant to the initiation of diabetes mellitus itself. These pathways include insulin signalling, generation of cellular energy, post-translational modifications and redox imbalances. This Review will examine how the development of diabetes mellitus has come full circle from initiation to complications and suggests that the development of diabetes mellitus and the progression to chronic complications both require the same mechanistic triggers.;Animals, Blood Glucose/metabolism, Cardiovascular Diseases/drug therapy/*etiology, Diabetes Complications/*etiology, Diabetes Mellitus/drug therapy/*etiology/microbiology/*physiopathology, Gastrointestinal Tract/microbiology, Humans, Insulin/metabolism
8495594;1993 Apr;Diabetes mellitus secondary to chronic pancreatitis.;From the present review it appears that insulin-dependent diabetes is a common finding in chronic pancreatitis, and impaired secretion of insulin from beta-cells of the pancreatic islets is essential for the development of this form of secondary diabetes. Judged from a positive correlation between insulin secretory capacity and stimulated pancreatic enzyme output, beta-cell function may decrease in parallel with exocrine pancreatic function. However, in patients with insulin-dependent diabetes secondary to chronic pancreatitis beta-cell function was preserved to a greater extent and glucoregulation was better than in comparable Type 1 (insulin-dependent) diabetic patients. Immunological phenomena and associations with certain HLA-alleles characterizing Type 1 diabetes mellitus were not found in insulin-dependent diabetes secondary to chronic pancreatitis. This may contribute to the slower destruction of the beta-cells in chronic pancreatitis than encountered in Type 1 diabetes. The small number of chronic pancreatitis patients who developed totally absence of endogenous insulin production still have some alpha-cell function during i.v. arginine and meal stimulation. However, insulin-induced hypoglycemia and insulin withdrawal did not stimulate glucagon secretion in the secondary diabetic patients in contrast to comparable Type 1 diabetics. Nevertheless, blood glucose counterregulation is intact in the secondary diabetics due to preserved catecholamine secretion. Furthermore, ketonemia develops during dissipation of insulin, in spite of absence of increased glucagon secretion, emphasizing the role of insulin dissipation for the development of ketoacidosis in this form of diabetes. The suggested increased susceptibility to severe hypoglycemia and less tendency to development of ketonemia may further be influenced by altered insulin sensitivity, nutritional factors and concomitant hepatic failure in diabetes secondary to chronic pancreatitis. Pancreatic polypeptide secretion was absent in chronic pancreatitis without endogenous insulin production. Pancreatic polypeptide secreting cells thus seem to be at least as vulnerable as the beta-cells to the destructive processes characterizing chronic pancreatitis, whereas glucagon secreting alpha-cells preserve secretory capacity to a greater extent than PP-cells and beta-cells. No data, however, favour the view that absent pancreatic polypeptide secretion has any major effect on the glucoregulation in diabetes secondary to chronic pancreatitis. Increased plasma concentration of somatostatin was found in patients with insulin-dependent diabetes secondary to chronic pancreatitis. The source of somatostatin in the patients is unknown, but somatostatin may contribute to a reduction in overall blood glucose level in patients without endogenous insulin secretion due to inhibition of glucagon secretion.(ABSTRACT TRUNCATED AT 400 WORDS);Chronic Disease, Diabetes Mellitus/epidemiology/*etiology/physiopathology, Diabetes Mellitus, Type 1/epidemiology/etiology/physiopathology, Diabetic Angiopathies/etiology, Diabetic Nephropathies/etiology, Diabetic Neuropathies/etiology, Diabetic Retinopathy/etiology, Humans, Pancreatitis/*complications/epidemiology/physiopathology
19186366;2008 Sep 25-Oct 8;Management of diabetes mellitus in clinical practice.;"Diabetes is a global health problem, with a challenging epidemiology. It is one of the major health problems affecting countries around the world, particularly the UK (World Health Organization [WHO], 2006; Department of Health [DH], 2006b). It is also a growing public health threat in the US (Mokdad et al, 2001). As a result, diabetes has become an important public health issue, prompting the WHO and International Diabetes Federation (IDF) to adopt the theme 'Diabetes for Everyone’ for World Diabetes Day 2006. In 2007, on World Diabetes Day, the United Nations also launched its 'Living with Diabetes at School' campaign, in response to the growing diabetes 'epidemics' (Diabetes UK, 2007). This article provides an overview of diabetes mellitus and its acute- and long-term management, including definition, aetiology, pathophysiology, classification, signs, symptoms and complications. The role of the nurse in providing patient-centred care for people with diabetes is emphasized.";Diabetes Complications, Diabetes Mellitus/diagnosis/nursing/physiopathology/*therapy, Humans, Hypoglycemic Agents/therapeutic use
3556107;1987 Mar-Apr; Primary prevention of diabetes mellitus.;Diabetes mellitus is one of the chronic noncommunicable diseases that have increased markedly in this century. The discovery of insulin and other drugs for lowering hyperglycemia have certainly reduced mortality from acute complications of diabetes and improved the quality of life of many diabetic patients. Recent advances in research into the etiology and natural history of diabetes have increased our knowledge about different types of diabetes to such an extent that primary prevention of diabetes mellitus is becoming a reality. Until now, few studies have attempted to test measures for primary prevention of diabetes. Therefore, the data supporting the possibility for primary prevention are largely indirect and need to be tested in preventive trials or in community-based prevention programs. We believe, however, that the time is right to start action in populations in which the prevalence of diabetes is known to have clearly increased recently. We summarize the evidence that can be used as the scientific basis of primary prevention of diabetes mellitus.;Diabetes Mellitus/genetics/*prevention & control, Diabetes Mellitus, Type 1/genetics/prevention & control, Diabetes Mellitus, Type 2/genetics/prevention & control, Humans, Primary Prevention
17524322;2007 Apr 28; [Diabetes mellitus in children: a heterogeneous disease].;Diabetes is one of the most common chronic diseases of childhood and adolescence. Type 1, or autoimmune diabetes accounts for more than 95% of cases. Nevertheless, over the past years it has become apparent that not all cases of diabetes presenting in children are autoimmune type 1. In these cases, the diagnosis is facilitated by the fact that many rare etiologies of diabetes are associated with specific clinical syndromes or a characteristic age of onset. In addition, molecular diagnosis is becoming increasingly available for several of these disorders. This review aims to provide the general physician with some important clues to make an accurate diagnosis in these patients and understand its implication in clinical management.;Child, Diabetes Mellitus/classification/diagnosis/etiology, Humans
9171248;1997 May;Twin studies in diabetes mellitus.;Twin studies are a valuable way of determining the relative significance of genetic and environmental factors in the aetiology of disease. In diabetes mellitus, they are of importance, since the aetiologies of Type 1 (insulin-dependent) and Type 2 (non-insulin-dependent) diabetes mellitus are probably different. However the results of twin studies have not always been reliable. Strict adherence to methodological guidelines is necessary to ensure the validity of the results that are obtained. These guidelines relate to ascertainment of a twin sample, confirmation of zygosity, and effects of sampling. Critical review of twin studies in diabetes performed to date imply provisionally a very strong genetic input to the aetiology of Type 1 diabetes. In Type 2 diabetes genetic and environmental factors are probably of equal importance.;Diabetes Mellitus/etiology/*genetics, Diabetes Mellitus, Type 1/etiology/genetics, Diabetes Mellitus, Type 2/etiology/genetics, Environment, Humans, Patient Selection, Twin Studies as Topic
16106756;2005 Jun 19;[Diabetes mellitus in children].;The review is covering different forms of diabetes mellitus occurring in children and adolescents. Main characteristics of childhood diabetes are based on the continuous changes in growth and development of children. The review is focusing on the diagnostics, epidemiology, etiopathogenesis and natural course of type 1 diabetes, the dominant form in the pediatric age group. Insulin treatment, nutritional management and education, including age related special problems are covered. Due to space limitations, acute and late complications, as well as possible prevention of type 1 diabetes are shortly mentioned. Beside type 1 diabetes, other forms of carbohydrate intolerance occurring in children are also also included. Among those, special emphasis is put on type 2 diabetes, due to its increasing incidence in children and adolescents parallel to the increased prevalence of childhood obesity.;Adolescent, Autoimmune Diseases/complications, Blood Glucose Self-Monitoring, Child, Diabetes Complications/diagnosis/therapy, Diabetes Mellitus/*diagnosis/diet therapy/drug therapy/epidemiology/immunology/prevention & control/*therapy, Diabetes Mellitus, Type 1/diagnosis/therapy, Diabetes Mellitus, Type 2/diagnosis/therapy, Diabetic Ketoacidosis/etiology, Glucose Tolerance Test, Humans, Hypoglycemia/etiology, Hypoglycemic Agents/administration & dosage, Incidence, Insulin/administration & dosage, Metabolic Syndrome/diagnosis/therapy, Patient Education as Topic, Prevalence
22242260;2011;[Post-transplantational diabetes mellitus].;Newly developed diabetes and impaired glucose tolerance are frequent post-transplantation metabolic complications. In most reports, the incidence of newly-diagnosed diabetes in such patients varies from 10 to 26%. They are at high risk of cardiovascular complications, infections, graft rejection, and impaired survival compared with recipients having normal blood glucose level. Some of the above risk factors are common for the general population (age, excess body weight, familial diabetes, afroamerican ethnicity, arterial hypertension, dyslipidemia). Specific risk factors characteristic of the post-transplantation period include the use of glucocorticoids and imunodepressants (especially tacrolimus and mTOR inhibitors) as well as infections (HCV and possibly cytomegalovirus). Screening for diabetes and evaluation of risk factors are recommended to all patients before and after transplantation. Patients of high-risk groups should be treated using non-diabetogenic protocols of immunosuppression. Achievement of normoglycemia, control of lipid levels and arterial pressure, screening for diabetes complications are indispensable components of the treatment aimed at the improvement of clinical outcome in the patients developing diabetes after organ transplantation.;Diabetes Mellitus/diagnosis/drug therapy/epidemiology/etiology, Humans, Organ Transplantation/*adverse effects
12603567;2003 Mar; Preparing nurses to face the pandemic of diabetes mellitus: a literature review.;Diabetes constitutes a global public health problem. Today about 135 million people are affected and it is estimated that the number in 2025 will be 300 million. AIMS: By reviewing existing literature the aim is to raise awareness among nurses, nurse educators and nursing students of the global epidemic of diabetes mellitus, its multiple underlying causes, especially social ones, and how to fight it. A further aim is to discuss the implications for future curriculum content in nurse education programmes. FINDINGS: The main underlying causes of the disease are genetic and environmental factors, such as urbanization and industrialization, as well as increased longevity and changes in lifestyle from a traditional healthy and active life to a modern, sedentary, stressful life and over-consumption of energy-dense foods. This process, labelled 'coca-colonization', is evident all over the world, although more so in developing countries. The prevalence of diabetes mellitus varies among populations due to differences in genetic susceptibility and social risk factors such as change in diet, obesity, physical inactivity and, possibly, factors relating to intrauterine development. Migrants are especially affected. Diabetes mellitus needs to be treated by a holistic approach through dietary adjustment, exercise, medication (if needed), education and self-care measures. Type 2 diabetes mellitus is a preventable disease. The main implication for nurses and nursing curricula is to change the focus from the individual with diabetes mellitus and management to prevent deterioration of health (secondary prevention), to population-based community-intervention programmes. These need to focus on health promoting activities to raise awareness among healthy people of the risk factors for diabetes mellitus. CONCLUSION: Nurses all over the world have an important role in fighting the diabetic pandemic by health promotion aimed to keep people healthy as long as possible.;Curriculum, Developing Countries/statistics & numerical data, Diabetes Mellitus/epidemiology/etiology/*nursing/prevention & control, Diabetes Mellitus, Type 2/etiology/nursing/prevention & control, Disease Outbreaks, Education, Nursing, Continuing/*methods, Health Promotion, Humans, Nurse Clinicians/*education, Urbanization
6374587;1984 Jun;Etiology and pathogenesis of diabetes mellitus.;The concept that diabetes mellitus is not a single disease. but rather a clinical syndrome characterized by inappropriately elevated fasting or post-prandial blood glucoses and the development of long-term microvascular, macrovascular, and neuropathic changes is of very recent origin and stems from numerous investigations into the epidemiology, genetics, etiology, and pathogenesis of clinical diabetic states. This article reviews some of these data and indicates that the various forms of diabetes mellitus have markedly different etiologies and pathogenetic mechanisms and that these must be recognized in order to understand and care for patients.;Diabetes Mellitus/classification/*etiology, Diabetes Mellitus, Type 1/classification/etiology, Diabetes Mellitus, Type 2/classification/etiology, Female, HLA Antigens/genetics, Humans, Male, Pregnancy, Pregnancy in Diabetics
